id,url,label,title,created_time,last_activity_date
65637227,https://stackoverflow.com/questions/65637227/getting-valueerror-for-building-fedavg-from-multi-output-keras-model,"['keras', 'tensorflow2.0', 'tensorflow-federated']",Getting ValueError for building fedAvg from multi-output keras model,2021-01-09 06:25:37,2021-07-22 16:01:57
65987943,https://stackoverflow.com/questions/65987943/does-tff-serializalize-functions-of-another-library,['tensorflow-federated'],Does TFF serializalize functions of another library?,2021-02-01 14:12:56,2021-02-05 11:01:36
66265109,https://stackoverflow.com/questions/66265109/federated-learning-in-tensorflow-federated-is-there-any-way-to-apply-early-stop,"['tensorflow', 'tensorflow-federated', 'federated-learning']","Federated Learning in Tensorflow Federated, is there any way to apply Early stopping on the client side?",2021-02-19 01:31:39,2021-02-20 13:07:13
66309222,https://stackoverflow.com/questions/66309222/how-can-i-access-value-in-sequence-type,"['tensorflow', 'tensorflow-federated']",How can I access value in sequence type?,2021-02-22 10:16:01,2021-02-23 18:56:32
66331850,https://stackoverflow.com/questions/66331850/how-do-i-create-an-fl-algorithm-that-uses-the-weights-of-a-few-clients,"['tensorflow', 'tensorflow-federated']",How do I create an FL algorithm that uses the weights of a few clients?,2021-02-23 19:00:21,2021-02-25 14:25:53
66579541,https://stackoverflow.com/questions/66579541/what-state-iterative-process-initialize-dow-in-federated-learning,"['tensorflow-federated', 'federated-learning']",What state = iterative_process.initialize() dow in Federated learning,2021-03-11 17:18:01,2021-04-04 15:52:14
66581075,https://stackoverflow.com/questions/66581075/warningtensorflowautograph-could-not-transform-function-lambda-at-0x7fca141,"['tensorflow-federated', 'federated-learning']",WARNING:tensorflow:AutoGraph could not transform &lt;function &lt;lambda&gt; at 0x7fca141a6d08&gt; and will run it as-is,2021-03-11 18:51:54,2021-04-05 08:45:01
66776030,https://stackoverflow.com/questions/66776030/proper-way-of-saving-clients-federated-datasets,"['tensorflow', 'tensorflow-datasets', 'tensorflow-federated']",Proper way of saving clients&#39; federated datasets,2021-03-24 14:53:00,2021-08-08 22:00:04
67053731,https://stackoverflow.com/questions/67053731/error-using-update-struct-function-in-tensorflow-federated,"['tensorflow', 'tensorflow-federated']",Error using update_struct function in TensorFlow Federated,2021-04-12 14:45:56,2021-04-12 16:50:14
67213520,https://stackoverflow.com/questions/67213520/tff-does-tff-support-any-other-models-except-neurel-networks,['tensorflow-federated'],TFF: Does TFF support any other models except neurel networks?,2021-04-22 20:41:52,2021-04-23 10:58:19
67533039,https://stackoverflow.com/questions/67533039/tensorflow-keras-input-0-of-layer-lstm-is-incompatible-with-the-layer-expec,"['python', 'tensorflow', 'machine-learning', 'keras', 'tensorflow-federated']","Tensorflow / Keras : Input 0 of layer lstm is incompatible with the layer: expected ndim=3, found ndim=2",2021-05-14 18:45:35,2021-05-14 19:35:33
67633859,https://stackoverflow.com/questions/67633859/norm-clipping-technique-in-tff,"['tensorflow-federated', 'federated-learning']",Norm clipping technique in TFF,2021-05-21 17:06:13,2021-05-23 01:04:25
67810671,https://stackoverflow.com/questions/67810671/what-does-intial-clip-norm-mean-in-gaussian-adaptive-clipping-in-tff,"['tensorflow-federated', 'federated-learning']",What does intial_clip_norm mean in gaussian adaptive clipping in TFF?,2021-06-03 02:32:51,2021-06-03 14:17:41
68341156,https://stackoverflow.com/questions/68341156/tensorflow-federated-tff-0-19-performs-significantly-worse-than-tff-0-17-when,['tensorflow-federated'],Tensorflow federated (TFF) 0.19 performs significantly worse than TFF 0.17 when running &quot;Building Your Own Federated Learning Algorithm&quot; tutorial,2021-07-12 09:54:37,2021-07-14 10:04:55
68668322,https://stackoverflow.com/questions/68668322/attributeerror-module-tensorflow-federated-python-simulation-has-no-attribute,"['python', 'tensorflow-federated']",AttributeError: module &#39;tensorflow_federated.python.simulation&#39; has no attribute &#39;HDF5ClientData&#39;,2021-08-05 22:17:45,2021-08-06 00:48:39
69499432,https://stackoverflow.com/questions/69499432/federated-averaging-and-tensorflow,"['tensorflow', 'tensorflow-federated', 'federated-learning']",Federated Averaging and TensorFlow,2021-10-09 01:03:26,2021-10-12 01:13:13
69542184,https://stackoverflow.com/questions/69542184/runtimeerror-no-default-context-installed-when-using-tensorflow-federated,"['python', 'tensorflow', 'runtime-error', 'tensorflow-federated']",&quot;RuntimeError: No default context installed. &quot; when using Tensorflow Federated,2021-10-12 22:17:52,2021-10-13 07:17:13
69607949,https://stackoverflow.com/questions/69607949/how-to-implement-custom-encode-tensorflow-federated,"['python', 'tensorflow', 'tensorflow-federated']",How to implement custom encode Tensorflow Federated,2021-10-18 03:36:56,2021-10-20 19:50:05
