framework,url,created_time,closed_time,lifecycle
FATE,https://github.com/FederatedAI/FATE/issues/2977,2021-08-17 08:35:39,2021-08-18 08:55:19,"1 day, 0:19:40"
FATE,https://github.com/FederatedAI/FATE/issues/2909,2021-07-23 03:35:07,2021-07-23 07:43:35,4:08:28
FATE,https://github.com/FederatedAI/FATE/issues/2834,2021-06-16 13:52:27,2021-06-22 12:50:51,"5 days, 22:58:24"
FATE,https://github.com/FederatedAI/FATE/issues/2817,2021-06-01 15:17:39,2021-06-02 01:15:07,9:57:28
FATE,https://github.com/FederatedAI/FATE/issues/2758,2021-04-23 07:15:31,2021-06-09 03:28:45,"46 days, 20:13:14"
FATE,https://github.com/FederatedAI/FATE/issues/2646,2021-03-13 07:25:50,2021-04-23 02:55:55,"40 days, 19:30:05"
FATE,https://github.com/FederatedAI/FATE/issues/2452,2021-01-07 02:46:35,2021-01-15 08:42:48,"8 days, 5:56:13"
FATE,https://github.com/FederatedAI/FATE/issues/2449,2021-01-06 08:53:33,2021-01-06 12:05:02,3:11:29
FATE,https://github.com/FederatedAI/FATE/issues/2440,2021-01-04 09:48:45,2021-01-05 05:55:23,20:06:38
FATE,https://github.com/FederatedAI/FATE/issues/2412,2020-12-17 06:30:54,2021-03-19 10:41:58,"92 days, 4:11:04"
FATE,https://github.com/FederatedAI/FATE/issues/2332,2020-11-18 09:21:30,2020-11-19 07:31:25,22:09:55
FATE,https://github.com/FederatedAI/FATE/issues/2153,2020-10-18 01:56:42,2020-11-11 12:35:51,"24 days, 10:39:09"
FATE,https://github.com/FederatedAI/FATE/issues/2082,2020-10-13 09:11:58,2021-06-23 06:23:29,"252 days, 21:11:31"
FATE,https://github.com/FederatedAI/FATE/issues/1824,2020-09-07 06:34:30,2020-09-08 04:15:49,21:41:19
FATE,https://github.com/FederatedAI/FATE/issues/1699,2020-08-13 05:11:00,2020-10-07 06:16:47,"55 days, 1:05:47"
FATE,https://github.com/FederatedAI/FATE/issues/1670,2020-08-11 01:56:59,2020-08-12 10:00:41,"1 day, 8:03:42"
FATE,https://github.com/FederatedAI/FATE/issues/1624,2020-07-30 08:15:58,2021-07-02 08:18:54,"337 days, 0:02:56"
FATE,https://github.com/FederatedAI/FATE/issues/1551,2020-07-11 17:10:25,2020-11-11 12:12:21,"122 days, 19:01:56"
FATE,https://github.com/FederatedAI/FATE/issues/1535,2020-07-02 03:23:49,2020-07-02 10:26:49,7:03:00
FATE,https://github.com/FederatedAI/FATE/issues/1410,2020-05-28 05:21:50,2020-06-16 07:48:43,"19 days, 2:26:53"
FATE,https://github.com/FederatedAI/FATE/issues/1409,2020-05-28 02:13:38,2020-06-01 11:25:17,"4 days, 9:11:39"
FATE,https://github.com/FederatedAI/FATE/issues/1408,2020-05-27 07:56:30,2020-06-29 07:37:48,"32 days, 23:41:18"
FATE,https://github.com/FederatedAI/FATE/issues/1399,2020-05-20 12:26:47,2020-06-16 07:50:32,"26 days, 19:23:45"
FATE,https://github.com/FederatedAI/FATE/issues/1377,2020-05-18 07:20:58,2021-04-14 08:16:49,"331 days, 0:55:51"
FATE,https://github.com/FederatedAI/FATE/issues/1376,2020-05-18 07:13:36,2020-11-02 07:32:44,"168 days, 0:19:08"
FATE,https://github.com/FederatedAI/FATE/issues/1374,2020-05-15 02:11:04,2020-05-27 02:03:13,"11 days, 23:52:09"
FATE,https://github.com/FederatedAI/FATE/issues/1373,2020-05-14 23:35:14,2020-05-15 00:06:46,0:31:32
FATE,https://github.com/FederatedAI/FATE/issues/1247,2020-04-27 07:31:53,2020-04-27 07:36:05,0:04:12
FATE,https://github.com/FederatedAI/FATE/issues/1157,2020-04-13 02:02:13,2020-06-15 05:49:54,"63 days, 3:47:41"
FATE,https://github.com/FederatedAI/FATE/issues/1156,2020-04-12 14:20:53,2020-04-14 07:50:44,"1 day, 17:29:51"
FATE,https://github.com/FederatedAI/FATE/issues/1089,2020-03-11 07:43:32,2020-06-15 05:48:10,"95 days, 22:04:38"
FATE,https://github.com/FederatedAI/FATE/issues/1060,2020-03-04 02:29:51,2020-03-05 06:51:27,"1 day, 4:21:36"
FATE,https://github.com/FederatedAI/FATE/issues/1047,2020-03-02 14:57:45,2020-03-03 02:34:58,11:37:13
FATE,https://github.com/FederatedAI/FATE/issues/1009,2020-02-20 07:45:36,2020-03-06 12:25:55,"15 days, 4:40:19"
FATE,https://github.com/FederatedAI/FATE/issues/980,2020-02-11 09:05:52,2020-05-11 14:12:30,"90 days, 5:06:38"
FATE,https://github.com/FederatedAI/FATE/issues/938,2020-01-14 03:18:00,2020-04-20 07:03:41,"97 days, 3:45:41"
