url,additions,deletions,total,changed_files,hunks,functions,hunks_dict
https://github.com/SetaSouto/torchsight/commit/6c5ee5adebb2ce4cbb13b879876b3fc4fcab7de1#diff-b44117eb28a7ff282e6c4bed392de22dR85,15,15,30,3,11,"{'num': 3, 'function': {'torchsight/losses/focal.py': ['forward'], 'torchsight/trainers/retinanet.py': ['get_dataloaders'], 'torchsight/transforms/detection.py': []}}","{'add': {2: 1, 1: 7, 3: 2}, 'del': {2: 2, 1: 8, 3: 1}}"
https://github.com/lsmallpotato/PyTorch/commit/606d0aa188d94e89200d6e9aca3622d869232039#diff-6d7a8c367f1ce2d38974aac21a3639f4R85,3,4,7,1,4,"{'num': 2, 'function': {'tutorials/02-intermediate/deep_residual_network/main.py': ['__init__', 'forward']}}","{'add': {2: 1, 1: 2}, 'del': {2: 1, 1: 2}}"
https://github.com/ClubAI/MonoDepth-PyTorch/commit/373525a7781245fdd45d75c4a2cbbe6e92fe2da2#L15,64,104,168,3,50,"{'num': 10, 'function': {'data_loader.py': ['image_transforms', '__init__', '__call__'], 'loss.py': ['gradient_y', 'apply_disparity', 'forward'], 'main_monodepth_pytorch.py': ['post_process_disparity', 'test', '__init__', 'train']}}","{'add': {5: 1, 1: 24, 2: 10, 3: 1, 4: 3}, 'del': {1: 18, 2: 13, 3: 7, 5: 4, 7: 1, 4: 1, 8: 1}}"
https://github.com/Billijk/Deep-Photo-Style-Transfer-PyTorch/commit/f244c61a26039f6a7877d9c8404f2746dd1cb642#diff-4d4ef792f7fdb6db0d851cf104182497R75,8,6,14,3,7,"{'num': 4, 'function': {'main.py': ['load_masks'], 'segment.py': ['test', 'segment'], 'visualize.py': []}}","{'add': {1: 6, 2: 1}, 'del': {1: 6}}"
https://github.com/mattmacy/torchbiomed/commit/330deebf8ba6aff03b85c09808640c660b7f2dac#diff-76baa13e055f7b4081e0c9bfcd8c7274R14,21,14,35,1,13,"{'num': 1, 'function': {'torchbiomed/datasets/luna16.py': ['make_dataset']}}","{'add': {1: 7, 2: 5, 4: 1}, 'del': {2: 1, 1: 8, 4: 1}}"
https://github.com/quantummole/torch/commit/4bd9257e0e6968a67eab48cd917177f57a991f04,17,11,28,2,9,"{'num': 3, 'function': {'datasets.py': [], 'trainer.py': ['cross_validate', 'debug']}}","{'add': {4: 1, 1: 5, 6: 1, 2: 1}, 'del': {4: 2, 1: 3}}"
https://github.com/Khrylx/PyTorch-RL/commit/392cb65bab9f8357a6a3d6ff640e99d6160d604a,2,2,4,1,2,"{'num': 1, 'function': {'gail/gail_gym.py': ['update_params']}}","{'add': {1: 2}, 'del': {1: 2}}"
https://github.com/Steffen-Wolf/TorchyMcDaskface/commit/f4859c65b81d3959dc0dffba5c1278d095aeddb5,3,0,3,1,1,"{'num': 1, 'function': {'torchy/pipeline/dask_controller.py': ['process_requests']}}","{'add': {3: 1}, 'del': {}}"
https://github.com/laubonghaudoi/CapsNet_guide_PyTorch/commit/45f60844c3efb60ec0315506c5ddd9b97c91895f,2,2,4,1,1,"{'num': 1, 'function': {'Decoder.py': ['forward']}}","{'add': {2: 1}, 'del': {2: 1}}"
https://github.com/ronamit/Meta_PyTorch/commit/63b23f13653b986c7a88a97121ae67e733b6a882#diff-c257c4c1091332e58af761f0aaed5751R63,27,23,50,5,13,"{'num': 4, 'function': {'Stochsastic_Meta_Learning/main_Meta_Bayes.py': [], 'Stochsastic_Meta_Learning/main_Meta_Bayes_Omni.py': [], 'Stochsastic_Meta_Learning/meta_train_Bayes.py': ['run_meta_learning'], 'Utils/Bayes_utils.py': []}}","{'add': {1: 9, 2: 1, 6: 2, 4: 1}, 'del': {1: 11, 6: 2}}"
https://github.com/probtorch/probtorch/commit/29aa68b5a0bd2a830ef8d10b2c947f2f20ab78d0,1,0,1,1,1,"{'num': 1, 'function': {'probtorch/util.py': ['partial_sum']}}","{'add': {1: 1}, 'del': {}}"
https://github.com/durner/STORN-keras/commit/20e428eb3e9f088fed57f67eef4adacb12c4daae#diff-c7f1ff9f60a6210057d3187fa03c6504R138,6,6,12,1,5,"{'num': 2, 'function': {'greenarm/util.py': ['plot_model_output', 'plot_full']}}","{'add': {1: 4, 2: 1}, 'del': {1: 4, 2: 1}}"
https://github.com/Grzego/async-rl/commit/6a1c16d21071644547c2e7251e269b874d7853f4,35,20,55,1,20,"{'num': 7, 'function': {'train.py': ['save_observation', 'transform_screen', 'generate_experience_proc', 'learn', 'sars_data', 'main', 'learn_proc']}}","{'add': {2: 6, 1: 6, 4: 2, 3: 3}, 'del': {3: 1, 1: 5, 4: 2, 2: 2}}"
https://github.com/justanhduc/densenet/commit/0e97dbbeee60f02d00954dd07806e342029c5b63,14,13,27,2,8,"{'num': 2, 'function': {'densenet.py': ['__init__'], 'train_densenet.py': ['train']}}","{'add': {3: 2, 2: 2, 1: 4}, 'del': {2: 3, 1: 4, 3: 1}}"
https://github.com/keunwoochoi/music-auto_tagging-keras/commit/efac88d1d79d48d9a5971c4d6b30247e284bed9c,3,3,6,2,3,"{'num': 2, 'function': {'music_tagger_cnn.py': ['MusicTaggerCNN'], 'music_tagger_crnn.py': ['MusicTaggerCRNN']}}","{'add': {1: 3}, 'del': {1: 3}}"
https://github.com/durner/STORN-keras/commit/16685b06ca59f5653ad366a737b82a0580bc5873#diff-27c3816e33ede3d22b20699f354ea4c1R39,44,32,76,4,19,"{'num': 12, 'function': {'greenarm/models/STORN.py': ['fit', 'shift_z_output_shape', 'reset_predict_model', 'build', 'load_predict_weights', '__init__', '_build'], 'greenarm/models/grid_search/keras_grid.py': [], 'greenarm/models/loss/variational.py': ['keras_variational'], 'greenarm/models/simple_predictive.py': ['evaluate', '_build_model', '__init__']}}","{'add': {2: 2, 5: 1, 1: 10, 8: 1, 11: 1, 3: 2}, 'del': {2: 3, 3: 2, 1: 13, 7: 1}}"
